"period","i","j","friend_m2"
"1998-2012","tr","fi",0
"1998-2012","tr","fr",0
"1998-2012","tr","gb",0
"1998-2012","tr","ge",1
"1998-2012","tr","gr",0
"1998-2012","tr","hr",0
"1998-2012","tr","hu",0
"1998-2012","tr","ie",0
"1998-2012","tr","il",0
"1998-2012","tr","is",0
"1998-2012","tr","lt",0
"1998-2012","tr","lv",0
"1998-2012","tr","md",0
"1998-2012","tr","mk",0
"1998-2012","tr","mt",0
"1998-2012","tr","nl",0
"1998-2012","tr","no",0
"1998-2012","tr","pl",0
"1998-2012","tr","pt",0
"1998-2012","tr","ro",0
"1998-2012","tr","rs",0
"1998-2012","tr","ru",0
"1998-2012","tr","se",0
"1998-2012","tr","si",0
"1998-2012","tr","ua",0
"1998-2012","ua","al",0
"1998-2012","ua","am",0
"1998-2012","ua","at",0
"1998-2012","ua","az",1
"1998-2012","ua","ba",0
"1998-2012","ua","be",0
"1998-2012","ua","ch",0
"1998-2012","ua","cy",0
"1998-2012","ua","de",0
"1998-2012","ua","dk",0
"1998-2012","ua","ee",0
"1998-2012","ua","es",0
"1998-2012","ua","fi",0
"1998-2012","ua","fr",0
"1998-2012","ua","gb",0
"1998-2012","ua","ge",1
"1998-2012","ua","gr",0
"1998-2012","ua","hr",0
"1998-2012","ua","hu",0
"1998-2012","ua","ie",0
"1998-2012","ua","il",0
"1998-2012","ua","is",0
"1998-2012","ua","lt",0
"1998-2012","ua","lv",0
"1998-2012","ua","md",1
"1998-2012","ua","mk",0
"1998-2012","ua","mt",0
"1998-2012","ua","no",0
"1998-2012","ua","pl",0
"1998-2012","ua","pt",0
"1998-2012","ua","ro",0
"1998-2012","ua","rs",0
"1998-2012","ua","ru",1
"1998-2012","ua","se",0
"1998-2012","ua","si",0
"1998-2012","ua","tr",0
